"Teri Hohabbat Ki Esitesi Gangstar Song ",,folk,,,,,,
"Naya Sal Me Ragad Dijiye",,bollywood,,,,,,
"UP62 Jila Jaunpur Zestfilm Sound Pvt Ltd",,bollywood,,,,,,
"Mai Re Mai (Features Artist Kishan Nagina & Riya ) Zestfilm Sound Private Limited ",,classical,,,,,,
"Janmdin Pawer Star Ke Zestfilm Sound Pvt Ltd ",,bollywood,,,,,,
"Satguru Ravidass Dham Boota Mandi",,devotional,,,,,,
"Bhargo Balam Tere Pive Te Mero",,folk,,,,,,
"Banda Jila Me Khilal Hamar Namva Zestfilm Sound Pvt Ltd ",,bollywood,,,,,,
"Raja Shardi lage kap rahi Chhatiya ",,pop,,,,,,
"Tharo So Stole Chhori Mhar Heto",,pop,,,,,,
